"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","OnLandmasswithHighMountains","Distancetohighmountain"
"4822","lakk1252","Lak","Eurasia",42.1328,47.0809,"lakk1252","lbe","AZ;GE;KZ;RU;UA","nakh1245","",FALSE,FALSE,70.5230989134048,TRUE,TRUE,0
"4823","erie1238","Erie","North America",42.158,-79.64,"erie1238","","US","uncl1493","",FALSE,TRUE,345.569262841948,TRUE,TRUE,1853.7343444254
"4824","sirz1237","Amuzgu-Shiri","Eurasia",42.171599,47.332115,"sirz1237","","","nakh1245","sout3261",FALSE,FALSE,55.3797115167272,TRUE,TRUE,0
"4825","bats1242","Bats","Eurasia",42.1806,45.344,"bats1242","bbl","GE","nakh1245","",FALSE,FALSE,185.619728133658,TRUE,TRUE,0
"4826","gali1258","Galician","Eurasia",42.2446,-7.5343,"gali1258","glg","PT;ES","indo1319","",FALSE,FALSE,93.5351227922551,TRUE,TRUE,467.488932303362
"4827","dido1241","Tsez","Eurasia",42.2646,45.8096,"dido1241","ddo","GE;RU","nakh1245","",FALSE,FALSE,148.172499234981,TRUE,TRUE,0
"4828","khva1239","Khwarshi-Inkhoqwari","Eurasia",42.2743,45.9977,"khva1239","khv","RU","nakh1245","",FALSE,FALSE,134.399552886356,TRUE,TRUE,0
"4829","fali1291","Faliscan","Eurasia",42.3,12.345,"fali1291","xfa","IT","indo1319","",FALSE,FALSE,41.7080156305968,TRUE,TRUE,351.506524214606
"4830","gheg1238","Gheg Albanian","Eurasia",42.317,21.3837,"gheg1238","aln","AL;BG;ME;MK;RO;RS","indo1319","",FALSE,FALSE,158.349083886838,TRUE,TRUE,245.788694531136
"4831","arch1244","Archi","Eurasia",42.3239,46.8267,"arch1244","aqc","RU","nakh1245","",FALSE,FALSE,78.3231081284172,TRUE,TRUE,0
"4832","tind1238","Tindi","Eurasia",42.3316,45.9227,"tind1238","tin","RU","nakh1245","",FALSE,FALSE,137.407965945382,TRUE,TRUE,0
"4833","hamg1238","Hamgyongdo","Eurasia",42.34,129.84,"hamg1238","","","kore1284","kore1280",FALSE,FALSE,45.1233316000388,TRUE,TRUE,1405.78852528453
"4834","loup1243","Loup A","North America",42.364,-72.731,"loup1243","xlo","US","algi1248","",FALSE,FALSE,105.779586177848,TRUE,TRUE,1516.10822522562
"4835","bagv1239","Bagvalal","Eurasia",42.3966,46.1041,"bagv1239","kva","RU","nakh1245","",FALSE,FALSE,121.770067779957,TRUE,TRUE,0
"4836","akhv1239","Akhvakh","Eurasia",42.4003,46.3037,"akhv1239","akv","RU","nakh1245","",FALSE,FALSE,107.57833292291,TRUE,TRUE,0
"4837","cayu1261","Cayuga","North America",42.41,-76.5969,"cayu1261","cay","CA;US","iroq1247","",FALSE,FALSE,220.363682850663,TRUE,TRUE,1687.16828197663
"4838","astu1245","Asturian-Leonese-Cantabrian","Eurasia",42.4181,-6.02227,"astu1245","ast","PT;ES","indo1319","",FALSE,FALSE,121.659242403622,TRUE,TRUE,341.775290754577
"4839","peri1253","Peripheral Mongolian","Eurasia",42.4208,110.157,"peri1253","mvf","CN;MN","mong1349","",FALSE,FALSE,898.423090675783,TRUE,TRUE,796.698119800517
"4840","take1257","Takelma","North America",42.423,-123.452,"take1257","tkm","US","","",TRUE,TRUE,72.7553181738591,TRUE,TRUE,4.10454075527262
"4841","darg1241","North-Central Dargwa","Eurasia",42.4257,47.4388,"darg1241","dar","AZ;KZ;RU;UA","nakh1245","",FALSE,FALSE,31.3569440820443,TRUE,TRUE,0
"4842","hinu1240","Hinuq","Eurasia",42.4502,45.8064,"hinu1240","gin","RU","nakh1245","",FALSE,FALSE,142.507845980206,TRUE,TRUE,0
"4843","arag1245","Aragonese","Eurasia",42.4669,-0.00919,"arag1245","arg","FR;ES","indo1319","",FALSE,FALSE,170.334014613732,TRUE,TRUE,0
"4844","cham1309","Chamalal","Eurasia",42.5024,45.995,"cham1309","cji","RU","nakh1245","",FALSE,FALSE,126.544018264329,TRUE,TRUE,0
"4845","sius1254","Siuslaw","North America",42.5111,-124.379,"sius1254","sis","US","","",TRUE,TRUE,1.99915948400922,TRUE,TRUE,77.9840265469445
"4846","ming1252","Mingrelian","Eurasia",42.5129,41.8719,"ming1252","xmf","GE","kart1248","",FALSE,FALSE,26.6973692226737,TRUE,TRUE,16.9936847866216
"4847","tutu1242","Tututni","North America",42.5563,-124.293,"tutu1242","tuu","US","atha1245","",FALSE,FALSE,7.90337432781208,TRUE,TRUE,70.4062462741826
"4848","sene1264","Seneca","North America",42.56,-77.53,"sene1264","see","CA;US","iroq1247","",FALSE,FALSE,292.921520878683,TRUE,TRUE,1715.93554604944
"4849","klam1254","Klamath-Modoc","North America",42.5861,-121.704,"klam1254","kla","US","","",TRUE,TRUE,179.6333456936,TRUE,TRUE,28.732339861604
"4850","muns1251","Munsee","North America",42.5968,-81.9166,"muns1251","umu","CA","algi1248","",FALSE,FALSE,485.78687038159,TRUE,TRUE,1932.82103013069
"4851","kara1474","Karata","Eurasia",42.6501,46.3151,"kara1474","kpt","RU","nakh1245","",FALSE,FALSE,98.0421623955198,TRUE,TRUE,0
"4852","botl1242","Botlikh","Eurasia",42.665,46.22,"botl1242","bph","RU","nakh1245","",FALSE,FALSE,105.312908516461,TRUE,TRUE,0
"4853","balk1252","Balkan Romani","Eurasia",42.67,21.17,"balk1252","rmn","BG;HU;MK;RO;RS;SK","indo1319","",FALSE,FALSE,156.086305317329,TRUE,TRUE,213.452025774999
"4854","dalm1243","Dalmatian","Eurasia",42.7095,18.0238,"dalm1243","dlm","HR","indo1319","",FALSE,FALSE,1.53606464358011,TRUE,TRUE,364.598999413531
"4855","dung1253","Dungan","Eurasia",42.7292,76.8382,"dung1253","dng","KZ;KG;TJ;UZ","sino1245","",FALSE,FALSE,1857.97952724496,TRUE,TRUE,0
"4856","ghod1238","Godoberi","Eurasia",42.7428,46.2252,"ghod1238","gdo","RU","nakh1245","",FALSE,FALSE,103.809442784537,TRUE,TRUE,0
"4857","umbr1253","Umbrian","Eurasia",42.75,13.02,"umbr1253","xum","IT","indo1319","",FALSE,FALSE,75.8264992390622,TRUE,TRUE,322.21201144129
"4858","andi1255","Andi","Eurasia",42.8078,46.2919,"andi1255","ani","RU","nakh1245","",FALSE,FALSE,97.5962593739085,TRUE,TRUE,0
"4859","oldu1238","Old Turkic","Eurasia",42.852778,89.529167,"oldu1238","oui","CN","turk1311","",FALSE,FALSE,2161.47741979333,TRUE,TRUE,31.7753064789738
