"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","Distancetomountain"
"138","malg1242","Malgana","Australia",-26.211,114.245,"malg1242","vml","AU","pama1250","",FALSE,FALSE,4.41583129572773,TRUE,1651.72564566115
"139","mbya1239","Mbyá Guaraní","South America",-26.0188,-52.711,"mbya1239","gun","AR;BR;PY;UY","tupi1275","",FALSE,FALSE,359.578105007612,TRUE,94.4770824843378
"140","swat1243","Swati","Africa",-26,31.5,"swat1243","ssw","SZ;LS;MZ;ZA","atla1278","",FALSE,FALSE,89.7138056495881,TRUE,1.43930340667707
"141","tsot1242","Tsotsitaal","Africa",-25.8633,27.4955,"tsot1242","fly","ZA","spee1234","",FALSE,FALSE,456.330566536015,TRUE,239.671137450167
"142","kimd1235","Kimda","South America",-25.826594,-54.625855,"kimd1235","","PY","nucl1710","",FALSE,FALSE,537.236974035961,TRUE,224.449966817684
"143","wang1290","Wangganguru","Australia",-25.8148,135.941,"wang1290","wgg","AU","pama1250","",FALSE,FALSE,722.16823905099,TRUE,373.39825707289
"144","ngaa1240","Ngaanyatjarra","Australia",-25.7514,127.602,"ngaa1240","ntj","AU","pama1250","",FALSE,FALSE,623.677989011432,TRUE,321.397523860134
"145","gung1248","Gungabula","Australia",-25.6896,148.604,"gung1248","gyf","AU","pama1250","",FALSE,FALSE,354.371472003857,TRUE,448.354803746984
"146","chir1286","Chiripá","South America",-25.6521,-55.051,"chir1286","nhd","AR;BR;PY","tupi1275","",FALSE,FALSE,576.807595768633,TRUE,269.840835731535
"147","sout2808","Sumayela Ndebele","Africa",-25.6272,29.048,"sout2808","","ZA","atla1278","",FALSE,FALSE,314.56376347218,TRUE,85.2458518853985
"148","para1311","Paraguayan Guaraní","South America",-25.60551,-57.08816,"para1311","gug","AR;PY","tupi1275","",FALSE,FALSE,731.554460013734,TRUE,451.151212867335
"149","ache1246","Aché","South America",-25.5865,-56.4697,"ache1246","guq","PY","tupi1275","",FALSE,FALSE,707.372643654117,TRUE,395.432569526057
"150","lowe1407","Lower-Nosop","Africa",-25.54522,20.588827,"lowe1407","","ZA","tuuu1241","",FALSE,FALSE,505.732496441219,TRUE,631.620556812024
"151","pirr1240","Pirriya","Australia",-25.48006595,142.5485119,"pirr1240","xpa","AU","pama1250","",FALSE,FALSE,803.769600897936,TRUE,571.282646021077
"152","ying1247","Yinggarda","Australia",-25.4446,115.58,"ying1247","yia","AU","pama1250","",FALSE,FALSE,137.781570106283,TRUE,1525.49267844347
"153","gure1255","Gureng Gureng","Australia",-25.3893,151.175,"gure1255","gnr","AU","pama1250","",FALSE,FALSE,136.467672099198,TRUE,375.340599666935
"154","fana1235","Fanagalo","Africa",-25.384842,27.1400833333,"fana1235","fng","CD;NA;ZA;ZM;ZW","pidg1258","",FALSE,FALSE,490.193066402699,TRUE,258.463578149471
"155","lule1238","Lule","South America",-25.221839,-61.887818,"lule1238","ule","AR","","",TRUE,TRUE,784.529827066571,TRUE,252.533852967956
"156","bidy1243","Bidyara","Australia",-25.192664,147.273359,"bidy1243","bym","AU","pama1250","",FALSE,FALSE,412.642776230169,TRUE,580.174554997269
"157","mith1236","Mithaka","Australia",-25.13606725,139.598447,"mith1236","","AU","pama1250","",FALSE,FALSE,822.525142783302,TRUE,536.360319628861
"158","nama1264","Nama (Namibia)","Africa",-25.0747,17.9767,"nama1264","naq","BW;NA;ZA","khoe1240","",FALSE,FALSE,287.046137668383,TRUE,671.478399500381
"159","maca1260","Maca","South America",-25.0119,-57.3694,"maca1260","mca","PY","mata1289","",FALSE,FALSE,795.959392577705,TRUE,505.158701402021
"160","pila1245","Pilagá","South America",-25.0058,-60.1537,"pila1245","plg","AR;PY","guai1249","",FALSE,FALSE,848.524540128848,TRUE,413.218305642812
"161","baya1257","Bayali","Australia",-24.9793,151.699,"baya1257","bjy","AU","pama1250","",FALSE,FALSE,65.0702991979398,TRUE,419.134416841456
"162","xeta1241","Xetá","South America",-24.9408,-52.2266,"xeta1241","xet","BR","tupi1275","",FALSE,FALSE,327.362031166947,TRUE,69.8220882129434
"163","kgal1244","Kgalagadi","Africa",-24.9208,22.72016,"kgal1244","xkv","BW;NA;ZA","atla1278","",FALSE,FALSE,705.152949199687,TRUE,648.103677422211
"164","tano1246","Tanosy Malagasy","Africa",-24.9186,47.1357,"tano1246","txy","MG","aust1307","",FALSE,FALSE,0.203080694992052,TRUE,9.62460776110441
"165","chop1243","Chopi","Africa",-24.8327,34.1097,"chop1243","cce","MZ","atla1278","",FALSE,FALSE,14.1281949654438,TRUE,259.589902518938
"166","tand1256","Tandroy Malagasy","Africa",-24.80155,45.9,"tand1256","tdx","MG","aust1307","",FALSE,FALSE,49.8914943763698,TRUE,48.0745296059774
"167","pedi1238","Pedi","Africa",-24.7993,29.4718,"pedi1238","nso","BW;ZA","atla1278","",FALSE,FALSE,296.678365089303,TRUE,35.4029457015799
"168","kuun1236","Kuungkari of Barcoo River","Australia",-24.75108713,143.5365228,"kuun1236","lku","AU","pama1250","",FALSE,FALSE,670.395651431949,TRUE,691.506179086292
"169","yand1261","Yandjibara","Australia",-24.746981,145.647382,"yand1261","xyb","AU","pama1250","",FALSE,FALSE,493.924301720976,TRUE,736.507512618563
"170","wang1289","Wanggamala","Australia",-24.7022,137.433,"wang1289","wnm","AU","pama1250","",FALSE,FALSE,848.127407083676,TRUE,547.022829229473
"171","inga1254","Ingain","South America",-24.621052,-54.254151,"inga1254","","BR","nucl1710","",FALSE,FALSE,520.169735045349,TRUE,267.570082843474
"172","kaiw1246","Kaiwá","South America",-24.589,-54.6815,"kaiw1246","kgk","AR;BR;PY","tupi1275","",FALSE,FALSE,559.901542838156,TRUE,310.932724570624
"173","wuli1242","Wuliwuli","Australia",-24.415,149.843,"wuli1242","wlu","AU","pama1250","",FALSE,FALSE,150.00095217039,TRUE,510.611711344273
"174","tswa1253","Tswana","Africa",-24.368,24.7587,"tswa1253","tsn","BW;NA;ZA;ZM;ZW","atla1278","",FALSE,FALSE,720.683514405898,TRUE,467.070429487111
"175","wari1262","Wariyangga","Australia",-24.353,116.927,"wari1262","wri","AU","pama1250","",FALSE,FALSE,281.055937720914,TRUE,1409.04470165219
"176","otii1244","Oti","South America",-24.3153231,-50.5580261,"otii1244","oti","BR","","",TRUE,TRUE,209.046486817626,TRUE,34.5544144247316
"177","wich1263","Wichí Lhamtés Vejoz","South America",-24.2189,-61.9117,"wich1263","wlv","AR;BO;PY","mata1289","",FALSE,FALSE,778.178679418246,TRUE,225.560070176487
"178","kung1258","Kunggari","Australia",-24.2182,143.222,"kung1258","kgl","AU","pama1250","",FALSE,FALSE,665.552410160991,TRUE,726.630940018659
"179","huaa1248","East Taa","Africa",-24.20022,20.79583,"huaa1248","nmn","BW","tuuu1241","",FALSE,FALSE,557.448947347118,TRUE,781.524079761826
