"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide"
"997","yane1238","Yanesha'","South America",-10.5454,-75.315,"yane1238","ame","PE","araw1281","",FALSE,FALSE
"998","oyao1237","Oya'oya","Papunesia",-10.5392,150.658,"oyao1237","oyy","PG","aust1307","",FALSE,FALSE
"999","tapi1254","Tapirapé","South America",-10.5373,-50.5438,"tapi1254","taf","BR","tupi1275","",FALSE,FALSE
"1000","nson1238","Nsongo","Africa",-10.5166,16.7348,"nson1238","nsx","AO","atla1278","",FALSE,FALSE
"1001","ambo1252","Ambo-Pasco Quechua","South America",-10.5138,-76.1135,"ambo1252","qva","PE","quec1387","",FALSE,FALSE
"1002","buhu1237","Buhutu","Papunesia",-10.5074,150.18,"buhu1237","bxh","PG","aust1307","",FALSE,FALSE
"1003","yana1272","Yanahuanca Pasco Quechua","South America",-10.4929,-76.5314,"yana1272","qur","PE","quec1387","",FALSE,FALSE
"1004","mach1268","Machinere","South America",-10.4804,-69.7683,"mach1268","mpd","BO;BR","araw1281","",FALSE,FALSE
"1005","kaim1235","Kaimbé","South America",-10.4795944,-39.0262926,"kaim1235","xai","BR","uncl1493","",FALSE,TRUE
"1006","pich1237","Pichis Ashéninka","South America",-10.47249,-74.60281,"pich1237","cpu","PE","araw1281","",FALSE,FALSE
"1007","makw1236","Makwe","Africa",-10.4673,40.0274,"makw1236","ymk","MZ;TZ","atla1278","",FALSE,FALSE
"1008","faga1239","Fagani","Papunesia",-10.4479,161.662,"faga1239","faf","SB","aust1307","",FALSE,FALSE
"1009","nden1249","Ndendeule","Africa",-10.4203,36.0105,"nden1249","dne","TZ","atla1278","",FALSE,FALSE
"1010","waga1268","Wagawaga","Papunesia",-10.41792,150.37814,"waga1268","wgb","PG","aust1307","",FALSE,FALSE
"1011","caja1239","Cajatambo North Lima Quechua","South America",-10.4126,-76.9602,"caja1239","qvl","PE","quec1387","",FALSE,FALSE
"1012","mand1423","Manda-Matumba","Africa",-10.3991,34.7424,"mand1423","mgs","MW;TZ","atla1278","",FALSE,FALSE
"1013","sout3127","South Ucayali Ashéninka","South America",-10.37875,-74.060306,"sout3127","cpy","PE","araw1281","",FALSE,FALSE
"1014","mail1248","Mailu","Papunesia",-10.3657,149.521,"mail1248","mgu","PG","mail1249","",FALSE,FALSE
"1015","unub1234","Unubahe","Papunesia",-10.3652,150.2683,"unub1234","unu","PG","aust1307","",FALSE,FALSE
"1016","bolo1261","Kibala","Africa",-10.3511,15.0867,"bolo1261","blv","AO","atla1278","",FALSE,FALSE
"1017","karo1305","Karo (Brazil)","South America",-10.3342,-61.5691,"karo1305","arr","BR","tupi1275","",FALSE,FALSE
"1018","sant1433","Santa Ana de Tusi Pasco Quechua","South America",-10.3302,-76.2753,"sant1433","qxt","PE","quec1387","",FALSE,FALSE
"1019","maiw1249","Maiwala","Papunesia",-10.3282,150.33,"maiw1249","mum","PG","aust1307","",FALSE,FALSE
"1020","tawa1275","Tawala","Papunesia",-10.3115,150.644,"tawa1275","tbo","PG","aust1307","",FALSE,FALSE
"1021","kaka1267","Kakabai","Papunesia",-10.2976,150.027,"kaka1267","kqf","PG","aust1307","",FALSE,FALSE
"1022","waem1237","Wa'ema","Papunesia",-10.2897,150.398,"waem1237","wag","PG","aust1307","",FALSE,FALSE
"1023","ayiw1239","Äiwoo","Papunesia",-10.282595,166.328715,"ayiw1239","nfl","SB","aust1307","",FALSE,FALSE
"1024","haig1237","Haigwai","Papunesia",-10.2741,150.256,"haig1237","hgw","PG","aust1307","",FALSE,FALSE
"1025","bina1271","Bina (Papua New Guinea)","Papunesia",-10.2667,149.661,"bina1271","bmn","PG","aust1307","",FALSE,FALSE
"1026","helo1243","Helong","Papunesia",-10.2647,123.377,"helo1243","heg","ID","aust1307","",FALSE,FALSE
"1027","kupa1239","Kupang Malay","Papunesia",-10.2526,123.63,"kupa1239","mkn","ID","aust1307","",FALSE,FALSE
"1028","urup1245","Urupa","South America",-10.25,-62.75,"urup1245","","BR","chap1271","",FALSE,FALSE
"1029","yaru1257","Yaru","South America",-10.25,-62,"yaru1257","","BR","chap1271","",FALSE,FALSE
"1030","aros1241","Arosi","Papunesia",-10.2441,161.432,"aros1241","aia","SB","aust1307","",FALSE,FALSE
"1031","mago1248","Magori","Papunesia",-10.2321,149.26,"mago1248","zgr","PG","aust1307","",FALSE,FALSE
"1032","ouma1237","Ouma","Papunesia",-10.2288,149.101,"ouma1237","oum","PG","aust1307","",FALSE,FALSE
"1033","taup1242","Taupota","Papunesia",-10.2275,150.373,"taup1242","tpa","PG","aust1307","",FALSE,FALSE
"1034","amar1273","Amarasi","Papunesia",-10.21751,123.96373,"amar1273","aaz","ID","aust1307","",FALSE,FALSE
"1035","gwed1239","Gweda","Papunesia",-10.2173,150.421,"gwed1239","grw","PG","aust1307","",FALSE,FALSE
"1036","yoba1237","Yoba","Papunesia",-10.2167,149.283,"yoba1237","yob","PG","aust1307","",FALSE,FALSE
